content_id,client_id,rf_score,risk_tier,reason_code,action,seen_in_training,days_since_last_update,impressions_90d,avg_position,ctr
content_6ee1588e8bcb,client_3fdba35f04,0.7383677009444702,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,989,27.3,0.0
content_f92cc1c6fb29,client_3fdba35f04,0.7381496858548741,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,174,24.1,0.0
content_91fefd1726b3,client_3fdba35f04,0.7381312789075413,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2748,18.7,0.07
content_bba6f490f394,client_3fdba35f04,0.738000469194584,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,336,32.8,0.0
content_750142aace28,client_3fdba35f04,0.7379001239181063,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,3031,23.6,0.07
content_e24e38119221,client_3fdba35f04,0.7376343353171332,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,344,14.4,0.0
content_46c1b521c941,client_3fdba35f04,0.73761431025754,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,4621,35.2,0.02
content_35679828d9af,client_3fdba35f04,0.7375601657195004,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,973,30.2,0.1
content_226c9fcb5d83,client_3fdba35f04,0.7375139542825627,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,206,16.0,0.0
content_7f47408edf2d,client_3fdba35f04,0.7374023612344814,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,848,17.1,0.12
content_ea9cfb4c4172,client_3fdba35f04,0.7373906896716881,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,294,30.8,0.0
content_25a763874cf0,client_3fdba35f04,0.7373551795183327,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,908,27.4,0.11
content_d33fcd939876,client_3fdba35f04,0.7373119603385232,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,940,16.3,0.0
content_d8bc8fbfca08,client_3fdba35f04,0.737128672533007,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,457,36.1,0.0
content_66ad6ed109ff,client_3fdba35f04,0.7369589562983053,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,351,17.4,0.0
content_a5acc618880c,client_3fdba35f04,0.7368923451421763,high,top_risk_decile_not_flagged_by_rule,review_for_refresh_secondary,True,104,271,29.9,0.0
content_bb6ebb5ec8c8,client_3fdba35f04,0.7368872299290974,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,2621,12.8,0.0
content_04d7435934f0,client_3fdba35f04,0.7368395587862684,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,515,21.1,0.0
content_7603a5153758,client_3fdba35f04,0.736813665137643,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,4171,30.1,0.12
content_4f1aef683b3f,client_3fdba35f04,0.7367852640429382,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1048,24.3,0.0
content_a0404909ecca,client_3fdba35f04,0.7367827176367251,high,stale_visible_and_top_risk_decile,review_for_refresh_priority,True,104,1115,14.1,0.0
